Title,Topic,Subtopic,Year of the map,Description,link
EU 27 Animal feed import 2010,Agri-food Markets,Trade and Quotas,2012,,https://eceuropaeu.sharepoint.com/sites/KNB-AGRI-GIS-Map-Catalogue/GISMC_all%20maps/an_feed_imp_2010.jpg
EU 27 Animal feed import 2011,Agri-food Markets,Trade and Quotas,2012,,https://eceuropaeu.sharepoint.com/sites/KNB-AGRI-GIS-Map-Catalogue/GISMC_all%20maps/An_feed_imp_2011.jpg
EU 27 Animal feed trimmed average export 2006 - 2010,Agri-food Markets,Trade and Quotas,2012,,https://eceuropaeu.sharepoint.com/sites/KNB-AGRI-GIS-Map-Catalogue/GISMC_all%20maps/an_feed_exp_xtrim.jpg
EU 27 Animal feed trimmed average export 2007-2011,Agri-food Markets,Trade and Quotas,2012,,https://eceuropaeu.sharepoint.com/sites/KNB-AGRI-GIS-Map-Catalogue/GISMC_all%20maps/An_feed_exp_xtrim_2011.jpg
EU 27 Animal feed trimmed average import 2006 - 2010,Agri-food Markets,Trade and Quotas,2012,,https://eceuropaeu.sharepoint.com/sites/KNB-AGRI-GIS-Map-Catalogue/GISMC_all%20maps/an_feed_imp_xtrim.jpg
EU 27 Animal feed trimmed average import 2007-2011,Agri-food Markets,Trade and Quotas,2012,,https://eceuropaeu.sharepoint.com/sites/KNB-AGRI-GIS-Map-Catalogue/GISMC_all%20maps/An_feed_imp_xtrim_2011.jpg
EU 27 Beef meat export 2010,Agri-food Markets,Trade and Quotas,2012,,https://eceuropaeu.sharepoint.com/sites/KNB-AGRI-GIS-Map-Catalogue/GISMC_all%20maps/beef_exp_2010.jpg
EU 27 Beef meat export 2011,Agri-food Markets,Trade and Quotas,2012,,https://eceuropaeu.sharepoint.com/sites/KNB-AGRI-GIS-Map-Catalogue/GISMC_all%20maps/beef_exp_2011.jpg
EU 27 Beef meat import 2010,Agri-food Markets,Trade and Quotas,2012,,https://eceuropaeu.sharepoint.com/sites/KNB-AGRI-GIS-Map-Catalogue/GISMC_all%20maps/beef_imp_2010.jpg
EU 27 Beef meat import 2011,Agri-food Markets,Trade and Quotas,2012,,https://eceuropaeu.sharepoint.com/sites/KNB-AGRI-GIS-Map-Catalogue/GISMC_all%20maps/beef_imp_2011.jpg
EU 27 Beef meat trimmed average export 2006 - 2010,Agri-food Markets,Trade and Quotas,2012,,https://eceuropaeu.sharepoint.com/sites/KNB-AGRI-GIS-Map-Catalogue/GISMC_all%20maps/beef_exp_xtrim.jpg
EU 27 Beef meat trimmed average export 2007-2011,Agri-food Markets,Trade and Quotas,2012,,https://eceuropaeu.sharepoint.com/sites/KNB-AGRI-GIS-Map-Catalogue/GISMC_all%20maps/beef_exp_xtrim_2011.jpg
EU 27 Beef meat trimmed average import 2006 - 2010,Agri-food Markets,Trade and Quotas,2012,,https://eceuropaeu.sharepoint.com/sites/KNB-AGRI-GIS-Map-Catalogue/GISMC_all%20maps/beef_imp_xtrim.jpg
EU 27 Beef meat trimmed average import 2007-2011,Agri-food Markets,Trade and Quotas,2012,,https://eceuropaeu.sharepoint.com/sites/KNB-AGRI-GIS-Map-Catalogue/GISMC_all%20maps/beef_imp_xtrim_2011.jpg
EU 27 Cereals and rice export 2011,Agri-food Markets,Trade and Quotas,2012,,https://eceuropaeu.sharepoint.com/sites/KNB-AGRI-GIS-Map-Catalogue/GISMC_all%20maps/Cereals_exp_2011.jpg
EU 27 Cereals and rice import 2011,Agri-food Markets,Trade and Quotas,2012,,https://eceuropaeu.sharepoint.com/sites/KNB-AGRI-GIS-Map-Catalogue/GISMC_all%20maps/cereals_imp_2011.jpg
EU 27 Cereals and rice trimmed average export 2007-2011,Agri-food Markets,Trade and Quotas,2012,,https://eceuropaeu.sharepoint.com/sites/KNB-AGRI-GIS-Map-Catalogue/GISMC_all%20maps/cereals_exp_xtrim_2011.jpg
EU 27 Cereals and rice trimmed average import 2007-2011,Agri-food Markets,Trade and Quotas,2012,,https://eceuropaeu.sharepoint.com/sites/KNB-AGRI-GIS-Map-Catalogue/GISMC_all%20maps/cereals_imp_xtrim_2011.jpg
EU 27 fruits and vegetables export 2010,Agri-food Markets,Trade and Quotas,2012,,https://eceuropaeu.sharepoint.com/sites/KNB-AGRI-GIS-Map-Catalogue/GISMC_all%20maps/f_and_v_exp_2010.jpg
EU 27 Fruits and vegetables export 2011,Agri-food Markets,Trade and Quotas,2012,,https://eceuropaeu.sharepoint.com/sites/KNB-AGRI-GIS-Map-Catalogue/GISMC_all%20maps/f_and_v_exp_2011.jpg
EU 27 fruits and vegetables import 2010,Agri-food Markets,Trade and Quotas,2012,,https://eceuropaeu.sharepoint.com/sites/KNB-AGRI-GIS-Map-Catalogue/GISMC_all%20maps/f_and_v_imp_2010.jpg
EU 27 Fruits and vegetables import 2011,Agri-food Markets,Trade and Quotas,2012,,https://eceuropaeu.sharepoint.com/sites/KNB-AGRI-GIS-Map-Catalogue/GISMC_all%20maps/f_and_v_imp_2011.jpg
EU 27 fruits and vegetables trimmed average export 2006 - 2010,Agri-food Markets,Trade and Quotas,2012,,https://eceuropaeu.sharepoint.com/sites/KNB-AGRI-GIS-Map-Catalogue/GISMC_all%20maps/F_and_V_exp_xtrim.jpg
EU 27 Fruits and vegetables trimmed average export 2007-2011,Agri-food Markets,Trade and Quotas,2012,,https://eceuropaeu.sharepoint.com/sites/KNB-AGRI-GIS-Map-Catalogue/GISMC_all%20maps/f_and_v_exp_xtrim_2011.jpg
EU 27 fruits and vegetables trimmed average import 2006 - 2010,Agri-food Markets,Trade and Quotas,2012,,https://eceuropaeu.sharepoint.com/sites/KNB-AGRI-GIS-Map-Catalogue/GISMC_all%20maps/F_and_V_imp_xtrim.jpg
EU 27 Fruits and vegetables trimmed average import 2007-2011,Agri-food Markets,Trade and Quotas,2012,,https://eceuropaeu.sharepoint.com/sites/KNB-AGRI-GIS-Map-Catalogue/GISMC_all%20maps/F_and_V_imp_xtrim_2011.jpg
EU 27 Milk and milk products export 2011,Agri-food Markets,Trade and Quotas,2012,,https://eceuropaeu.sharepoint.com/sites/KNB-AGRI-GIS-Map-Catalogue/GISMC_all%20maps/milk_exp_2011.jpg
EU 27 Milk and milk products import 2011,Agri-food Markets,Trade and Quotas,2012,,https://eceuropaeu.sharepoint.com/sites/KNB-AGRI-GIS-Map-Catalogue/GISMC_all%20maps/milk_imp_2011.jpg
EU 27 Milk and milk products trimmed average export 2007-2011,Agri-food Markets,Trade and Quotas,2012,,https://eceuropaeu.sharepoint.com/sites/KNB-AGRI-GIS-Map-Catalogue/GISMC_all%20maps/milk_exp_xtrim_2011.jpg
EU 27 Milk and milk products trimmed average import 2007-2011,Agri-food Markets,Trade and Quotas,2012,,https://eceuropaeu.sharepoint.com/sites/KNB-AGRI-GIS-Map-Catalogue/GISMC_all%20maps/milk_imp_xtrim_2011.jpg
EU 27 olive oil and vegetable fats export 2010,Agri-food Markets,Trade and Quotas,2012,,https://eceuropaeu.sharepoint.com/sites/KNB-AGRI-GIS-Map-Catalogue/GISMC_all%20maps/oliveoil_exp_2010.jpg
EU 27 olive oil and vegetable fats import 2010,Agri-food Markets,Trade and Quotas,2012,,https://eceuropaeu.sharepoint.com/sites/KNB-AGRI-GIS-Map-Catalogue/GISMC_all%20maps/olive_imp_2010.jpg
EU 27 olive oil and vegetable fats trimmed average export 2006 - 2010,Agri-food Markets,Trade and Quotas,2012,,https://eceuropaeu.sharepoint.com/sites/KNB-AGRI-GIS-Map-Catalogue/GISMC_all%20maps/olive_oil_and_veg_fat_exp_xtrim.jpg
EU 27 olive oil and vegetable fats trimmed average import 2006 - 2010,Agri-food Markets,Trade and Quotas,2012,,https://eceuropaeu.sharepoint.com/sites/KNB-AGRI-GIS-Map-Catalogue/GISMC_all%20maps/olive_oil_and_veg_fat_imp_xtrim.jpg
EU 27 Olive oil export 2011,Agri-food Markets,Trade and Quotas,2012,,https://eceuropaeu.sharepoint.com/sites/KNB-AGRI-GIS-Map-Catalogue/GISMC_all%20maps/oliveoil_exp_2011.gif
EU 27 Olive oil import 2011,Agri-food Markets,Trade and Quotas,2012,,https://eceuropaeu.sharepoint.com/sites/KNB-AGRI-GIS-Map-Catalogue/GISMC_all%20maps/olive_imp_2011.gif
EU 27 Olive oil trimmed average export 2007-2011,Agri-food Markets,Trade and Quotas,2012,,https://eceuropaeu.sharepoint.com/sites/KNB-AGRI-GIS-Map-Catalogue/GISMC_all%20maps/Oliveoil_exp_xtrim_2011.gif
EU 27 Olive oil trimmed average import 2007-2011,Agri-food Markets,Trade and Quotas,2012,,https://eceuropaeu.sharepoint.com/sites/KNB-AGRI-GIS-Map-Catalogue/GISMC_all%20maps/oliveoil_imp_xtrim_2011.gif
EU 27 Pork meat export 2010,Agri-food Markets,Trade and Quotas,2012,,https://eceuropaeu.sharepoint.com/sites/KNB-AGRI-GIS-Map-Catalogue/GISMC_all%20maps/pork_exp_2010.jpg
EU 27 Pork meat export 2011,Agri-food Markets,Trade and Quotas,2012,,https://eceuropaeu.sharepoint.com/sites/KNB-AGRI-GIS-Map-Catalogue/GISMC_all%20maps/pork_exp_2011.gif
EU 27 Pork meat import 2010,Agri-food Markets,Trade and Quotas,2012,,https://eceuropaeu.sharepoint.com/sites/KNB-AGRI-GIS-Map-Catalogue/GISMC_all%20maps/pork_imp_2010.jpg
EU 27 Pork meat import 2011,Agri-food Markets,Trade and Quotas,2012,,https://eceuropaeu.sharepoint.com/sites/KNB-AGRI-GIS-Map-Catalogue/GISMC_all%20maps/pork_imp_2011.gif
EU 27 Pork meat trimmed average export 2006 - 2010,Agri-food Markets,Trade and Quotas,2012,,https://eceuropaeu.sharepoint.com/sites/KNB-AGRI-GIS-Map-Catalogue/GISMC_all%20maps/pork_exp_xtrim.jpg
EU 27 Pork meat trimmed average export 2007-2011,Agri-food Markets,Trade and Quotas,2012,,https://eceuropaeu.sharepoint.com/sites/KNB-AGRI-GIS-Map-Catalogue/GISMC_all%20maps/pork_exp_xtrim_2011.gif
EU 27 Pork meat trimmed average import 2006 - 2010,Agri-food Markets,Trade and Quotas,2012,,https://eceuropaeu.sharepoint.com/sites/KNB-AGRI-GIS-Map-Catalogue/GISMC_all%20maps/pork_imp_xtrim.jpg
EU 27 Pork meat trimmed average import 2007-2011,Agri-food Markets,Trade and Quotas,2012,,https://eceuropaeu.sharepoint.com/sites/KNB-AGRI-GIS-Map-Catalogue/GISMC_all%20maps/pork_imp_xtrim_2011.gif
EU 27 Poultry meat export 2010,Agri-food Markets,Trade and Quotas,2012,,https://eceuropaeu.sharepoint.com/sites/KNB-AGRI-GIS-Map-Catalogue/GISMC_all%20maps/poultry_exp_2010.jpg
EU 27 Poultry meat export 2011,Agri-food Markets,Trade and Quotas,2012,,https://eceuropaeu.sharepoint.com/sites/KNB-AGRI-GIS-Map-Catalogue/GISMC_all%20maps/poultry_exp_2011.gif
EU 27 Poultry meat import 2011,Agri-food Markets,Trade and Quotas,2012,,https://eceuropaeu.sharepoint.com/sites/KNB-AGRI-GIS-Map-Catalogue/GISMC_all%20maps/poultry_imp_2011.gif
EU 27 Poultry meat trimmed average export 2006 - 2010,Agri-food Markets,Trade and Quotas,2012,,https://eceuropaeu.sharepoint.com/sites/KNB-AGRI-GIS-Map-Catalogue/GISMC_all%20maps/poultry_exp_xtrim.jpg
EU 27 Poultry meat trimmed average export 2007-2011,Agri-food Markets,Trade and Quotas,2012,,https://eceuropaeu.sharepoint.com/sites/KNB-AGRI-GIS-Map-Catalogue/GISMC_all%20maps/poultry_exp_xtrim_2011.gif
EU 27 Poultry meat trimmed average import 2006 - 2010,Agri-food Markets,Trade and Quotas,2012,,https://eceuropaeu.sharepoint.com/sites/KNB-AGRI-GIS-Map-Catalogue/GISMC_all%20maps/poultry_imp_xtrim.jpg
EU 27 Poultry meat trimmed average import 2007-2011,Agri-food Markets,Trade and Quotas,2012,,https://eceuropaeu.sharepoint.com/sites/KNB-AGRI-GIS-Map-Catalogue/GISMC_all%20maps/poultry_imp_xtrim_2011.gif
EU 27 Sheep and goat meat export 2010,Agri-food Markets,Trade and Quotas,2012,,https://eceuropaeu.sharepoint.com/sites/KNB-AGRI-GIS-Map-Catalogue/GISMC_all%20maps/sheep_exp_2010.jpg
EU 27 Sheep and goat meat export 2011,Agri-food Markets,Trade and Quotas,2012,,https://eceuropaeu.sharepoint.com/sites/KNB-AGRI-GIS-Map-Catalogue/GISMC_all%20maps/sheep_exp_2011.gif
EU 27 Sheep and goat meat import 2010,Agri-food Markets,Trade and Quotas,2012,,https://eceuropaeu.sharepoint.com/sites/KNB-AGRI-GIS-Map-Catalogue/GISMC_all%20maps/sheep_imp_2010.jpg
EU 27 Sheep and goat meat import 2011,Agri-food Markets,Trade and Quotas,2012,,https://eceuropaeu.sharepoint.com/sites/KNB-AGRI-GIS-Map-Catalogue/GISMC_all%20maps/sheep_imp_2011.gif
EU 27 Sheep and goat meat trimmed average export 2006 - 2010,Agri-food Markets,Trade and Quotas,2012,,https://eceuropaeu.sharepoint.com/sites/KNB-AGRI-GIS-Map-Catalogue/GISMC_all%20maps/sheepgoat_exp_xtrim.jpg
EU 27 Sheep and goat meat trimmed average export 2007-2011,Agri-food Markets,Trade and Quotas,2012,,https://eceuropaeu.sharepoint.com/sites/KNB-AGRI-GIS-Map-Catalogue/GISMC_all%20maps/sheepgoat_exp_xtrim_2011.gif
EU 27 Sheep and goat meat trimmed average import 2006 - 2010,Agri-food Markets,Trade and Quotas,2012,,https://eceuropaeu.sharepoint.com/sites/KNB-AGRI-GIS-Map-Catalogue/GISMC_all%20maps/sheepgoat_imp_xtrim.jpg
EU 27 Sheep and goat meat trimmed average import 2007-2011,Agri-food Markets,Trade and Quotas,2012,,https://eceuropaeu.sharepoint.com/sites/KNB-AGRI-GIS-Map-Catalogue/GISMC_all%20maps/sheepgoat_imp_xtrim_2011.gif
EU 27 Sugar export 2010,Agri-food Markets,Trade and Quotas,2012,,https://eceuropaeu.sharepoint.com/sites/KNB-AGRI-GIS-Map-Catalogue/GISMC_all%20maps/sugar_exp_2010.jpg
EU 27 Sugar export 2011,Agri-food Markets,Trade and Quotas,2012,,https://eceuropaeu.sharepoint.com/sites/KNB-AGRI-GIS-Map-Catalogue/GISMC_all%20maps/sugar_exp_2011.gif
EU 27 Sugar import 2010,Agri-food Markets,Trade and Quotas,2012,,https://eceuropaeu.sharepoint.com/sites/KNB-AGRI-GIS-Map-Catalogue/GISMC_all%20maps/sugar_imp_2010.jpg
EU 27 Sugar import 2011,Agri-food Markets,Trade and Quotas,2012,,https://eceuropaeu.sharepoint.com/sites/KNB-AGRI-GIS-Map-Catalogue/GISMC_all%20maps/sugar_imp_2011.gif
EU 27 Sugar trimmed average export 2006 - 2010,Agri-food Markets,Trade and Quotas,2012,,https://eceuropaeu.sharepoint.com/sites/KNB-AGRI-GIS-Map-Catalogue/GISMC_all%20maps/sugar_exp_xtrim.jpg
EU 27 Sugar trimmed average export 2007-2011,Agri-food Markets,Trade and Quotas,2012,,https://eceuropaeu.sharepoint.com/sites/KNB-AGRI-GIS-Map-Catalogue/GISMC_all%20maps/sugar_exp_xtrim_2011.gif
EU 27 Sugar trimmed average import 2006 - 2010,Agri-food Markets,Trade and Quotas,2012,,https://eceuropaeu.sharepoint.com/sites/KNB-AGRI-GIS-Map-Catalogue/GISMC_all%20maps/sugar_imp_xtrim.jpg
EU 27 Sugar trimmed average import 2007-2011,Agri-food Markets,Trade and Quotas,2012,,https://eceuropaeu.sharepoint.com/sites/KNB-AGRI-GIS-Map-Catalogue/GISMC_all%20maps/Sugar_imp_xtrim_2011.gif
EU 27 Total cereals and rice export 2010,Agri-food Markets,Trade and Quotas,2012,,https://eceuropaeu.sharepoint.com/sites/KNB-AGRI-GIS-Map-Catalogue/GISMC_all%20maps/cereals_exp_2010.jpg
EU 27 Total cereals and rice import 2010,Agri-food Markets,Trade and Quotas,2012,,https://eceuropaeu.sharepoint.com/sites/KNB-AGRI-GIS-Map-Catalogue/GISMC_all%20maps/cereals_imp_2010.jpg
EU 27 Total cereals and rice trimmed average export 2006 - 2010,Agri-food Markets,Trade and Quotas,2012,,https://eceuropaeu.sharepoint.com/sites/KNB-AGRI-GIS-Map-Catalogue/GISMC_all%20maps/cereals_exp_xtrim.jpg
EU 27 Total cereals and rice trimmed average import 2006 - 2010,Agri-food Markets,Trade and Quotas,2012,,https://eceuropaeu.sharepoint.com/sites/KNB-AGRI-GIS-Map-Catalogue/GISMC_all%20maps/cereals_imp_xtrim.jpg
EU 27 Total milk products export 2010,Agri-food Markets,Trade and Quotas,2012,,https://eceuropaeu.sharepoint.com/sites/KNB-AGRI-GIS-Map-Catalogue/GISMC_all%20maps/milk_exp_2010.jpg
EU 27 Total milk products import 2010,Agri-food Markets,Trade and Quotas,2012,,https://eceuropaeu.sharepoint.com/sites/KNB-AGRI-GIS-Map-Catalogue/GISMC_all%20maps/milk_imp_2010.jpg
EU 27 Total milk products trimmed average export 2006 - 2010,Agri-food Markets,Trade and Quotas,2012,,https://eceuropaeu.sharepoint.com/sites/KNB-AGRI-GIS-Map-Catalogue/GISMC_all%20maps/milk_exp_xtrim.jpg
EU 27 Total milk products trimmed average import 2006 - 2010,Agri-food Markets,Trade and Quotas,2012,,https://eceuropaeu.sharepoint.com/sites/KNB-AGRI-GIS-Map-Catalogue/GISMC_all%20maps/milk_imp_xtrim.jpg
EU 27 wine export 2010,Agri-food Markets,Trade and Quotas,2012,,https://eceuropaeu.sharepoint.com/sites/KNB-AGRI-GIS-Map-Catalogue/GISMC_all%20maps/wine_exp_2010.jpg
EU 27 Wine export 2011,Agri-food Markets,Trade and Quotas,2012,,https://eceuropaeu.sharepoint.com/sites/KNB-AGRI-GIS-Map-Catalogue/GISMC_all%20maps/wine_exp_2011.gif
EU 27 wine import 2010,Agri-food Markets,Trade and Quotas,2012,,https://eceuropaeu.sharepoint.com/sites/KNB-AGRI-GIS-Map-Catalogue/GISMC_all%20maps/wine_imp_2010.jpg
EU 27 Wine import 2011,Agri-food Markets,Trade and Quotas,2012,,https://eceuropaeu.sharepoint.com/sites/KNB-AGRI-GIS-Map-Catalogue/GISMC_all%20maps/wine_imp_2011.gif
EU 27 wine trimmed average export 2006 - 2010,Agri-food Markets,Trade and Quotas,2012,,https://eceuropaeu.sharepoint.com/sites/KNB-AGRI-GIS-Map-Catalogue/GISMC_all%20maps/wine_exp_xtrim.jpg
EU 27 Wine trimmed average export 2007-2011,Agri-food Markets,Trade and Quotas,2012,,https://eceuropaeu.sharepoint.com/sites/KNB-AGRI-GIS-Map-Catalogue/GISMC_all%20maps/WINE_exp_xtrim_2011.gif
EU 27 wine trimmed average import 2006 - 2010,Agri-food Markets,Trade and Quotas,2012,,https://eceuropaeu.sharepoint.com/sites/KNB-AGRI-GIS-Map-Catalogue/GISMC_all%20maps/wine_imp_xtrim.jpg
EU 27 Wine trimmed average import 2007-2011,Agri-food Markets,Trade and Quotas,2012,,https://eceuropaeu.sharepoint.com/sites/KNB-AGRI-GIS-Map-Catalogue/GISMC_all%20maps/wine_imp_xtrim_2011.gif
First ten importing countries of cheese. Percentage increase in 2022/2012,Agri-food Markets,Trade and Quotas,2012,,https://eceuropaeu.sharepoint.com/sites/KNB-AGRI-GIS-Map-Catalogue/GISMC_all%20maps/imp_cheese_scale.gif
First ten importing countries of cheese. Percentage increase in 2022/2012,Agri-food Markets,Trade and Quotas,2012,,https://eceuropaeu.sharepoint.com/sites/KNB-AGRI-GIS-Map-Catalogue/GISMC_all%20maps/imp_cheese_scale_graph.gif
First ten importing countries of SMP. Percentage increase in 2022/2012,Agri-food Markets,Trade and Quotas,2012,,https://eceuropaeu.sharepoint.com/sites/KNB-AGRI-GIS-Map-Catalogue/GISMC_all%20maps/imp_smp_scale.gif
First ten importing countries of SMP. Percentage increase in 2022/2012,Agri-food Markets,Trade and Quotas,2012,,https://eceuropaeu.sharepoint.com/sites/KNB-AGRI-GIS-Map-Catalogue/GISMC_all%20maps/imp_smp_scale_graph.gif
EU 27 Animal feed export 2008-2012,Agri-food Markets,Trade and Quotas,2013,,https://eceuropaeu.sharepoint.com/sites/KNB-AGRI-GIS-Map-Catalogue/GISMC_all%20maps/TRAnimal%20feedEXP.png
EU 27 Animal feed export 2012,Agri-food Markets,Trade and Quotas,2013,,https://eceuropaeu.sharepoint.com/sites/KNB-AGRI-GIS-Map-Catalogue/GISMC_all%20maps/Animal%20feedEXP.png
EU 27 Animal feed import 2008-2012,Agri-food Markets,Trade and Quotas,2013,,https://eceuropaeu.sharepoint.com/sites/KNB-AGRI-GIS-Map-Catalogue/GISMC_all%20maps/TRAnimal%20feedIMP.png
EU 27 Animal feed import 2012,Agri-food Markets,Trade and Quotas,2013,,https://eceuropaeu.sharepoint.com/sites/KNB-AGRI-GIS-Map-Catalogue/GISMC_all%20maps/Animal%20feedIMP.png
EU 27 Beef meat export 2008-2012,Agri-food Markets,Trade and Quotas,2013,,https://eceuropaeu.sharepoint.com/sites/KNB-AGRI-GIS-Map-Catalogue/GISMC_all%20maps/TRBeef%20meatEXP.png
EU 27 Beef meat export 2012,Agri-food Markets,Trade and Quotas,2013,,https://eceuropaeu.sharepoint.com/sites/KNB-AGRI-GIS-Map-Catalogue/GISMC_all%20maps/Beef%20meatEXP.png
EU 27 Beef meat import 2008-2012,Agri-food Markets,Trade and Quotas,2013,,https://eceuropaeu.sharepoint.com/sites/KNB-AGRI-GIS-Map-Catalogue/GISMC_all%20maps/TRBeef%20meatIMP.png
EU 27 Beef meat import 2012,Agri-food Markets,Trade and Quotas,2013,,https://eceuropaeu.sharepoint.com/sites/KNB-AGRI-GIS-Map-Catalogue/GISMC_all%20maps/Beef%20meatIMP.png
EU 27 Cereals and rice export 2008-2012,Agri-food Markets,Trade and Quotas,2013,,https://eceuropaeu.sharepoint.com/sites/KNB-AGRI-GIS-Map-Catalogue/GISMC_all%20maps/TRCereals%20and%20RiceEXP.png
EU 27 Cereals and rice export 2012,Agri-food Markets,Trade and Quotas,2013,,https://eceuropaeu.sharepoint.com/sites/KNB-AGRI-GIS-Map-Catalogue/GISMC_all%20maps/Cereals%20and%20RiceEXP.png
EU 27 Cereals and rice import 2008-2012,Agri-food Markets,Trade and Quotas,2013,,https://eceuropaeu.sharepoint.com/sites/KNB-AGRI-GIS-Map-Catalogue/GISMC_all%20maps/TRCereals%20and%20RiceIMP.png
EU 27 Cereals and rice import 2012,Agri-food Markets,Trade and Quotas,2013,,https://eceuropaeu.sharepoint.com/sites/KNB-AGRI-GIS-Map-Catalogue/GISMC_all%20maps/Cereals%20and%20RiceIMP.png
EU 27 Fruits and vegetables export 2008-2012,Agri-food Markets,Trade and Quotas,2013,,https://eceuropaeu.sharepoint.com/sites/KNB-AGRI-GIS-Map-Catalogue/GISMC_all%20maps/TRFruits%20and%20VegetablesEXP.png
EU 27 Fruits and vegetables export 2012,Agri-food Markets,Trade and Quotas,2013,,https://eceuropaeu.sharepoint.com/sites/KNB-AGRI-GIS-Map-Catalogue/GISMC_all%20maps/Fruits%20and%20VegetablesEXP.png
EU 27 Fruits and vegetables import 2008-2012,Agri-food Markets,Trade and Quotas,2013,,https://eceuropaeu.sharepoint.com/sites/KNB-AGRI-GIS-Map-Catalogue/GISMC_all%20maps/TRFruits%20and%20VegetablesIMP.png
EU 27 Fruits and vegetables import 2012,Agri-food Markets,Trade and Quotas,2013,,https://eceuropaeu.sharepoint.com/sites/KNB-AGRI-GIS-Map-Catalogue/GISMC_all%20maps/Fruits%20and%20VegetablesIMP.png
EU 27 Milk and milk products export 2008-2012,Agri-food Markets,Trade and Quotas,2013,,https://eceuropaeu.sharepoint.com/sites/KNB-AGRI-GIS-Map-Catalogue/GISMC_all%20maps/TRMilk%20and%20milk%20productsEXP.png
EU 27 Milk and milk products export 2012,Agri-food Markets,Trade and Quotas,2013,,https://eceuropaeu.sharepoint.com/sites/KNB-AGRI-GIS-Map-Catalogue/GISMC_all%20maps/Milk%20and%20milk%20productsEXP.png
EU 27 Milk and milk products import 2008-2012,Agri-food Markets,Trade and Quotas,2013,,https://eceuropaeu.sharepoint.com/sites/KNB-AGRI-GIS-Map-Catalogue/GISMC_all%20maps/TRMilk%20and%20milk%20productsIMP.png
EU 27 Milk and milk products import 2012,Agri-food Markets,Trade and Quotas,2013,,https://eceuropaeu.sharepoint.com/sites/KNB-AGRI-GIS-Map-Catalogue/GISMC_all%20maps/Milk%20and%20milk%20productsIMP.png
EU 27 Olive oil export 2008-2012,Agri-food Markets,Trade and Quotas,2013,,https://eceuropaeu.sharepoint.com/sites/KNB-AGRI-GIS-Map-Catalogue/GISMC_all%20maps/TRolive%20oilEXP.png
EU 27 Olive oil export 2012,Agri-food Markets,Trade and Quotas,2013,,https://eceuropaeu.sharepoint.com/sites/KNB-AGRI-GIS-Map-Catalogue/GISMC_all%20maps/olive%20oilEXP.png
EU 27 Olive oil import 2008-2012,Agri-food Markets,Trade and Quotas,2013,,https://eceuropaeu.sharepoint.com/sites/KNB-AGRI-GIS-Map-Catalogue/GISMC_all%20maps/TRolive%20oilIMP.png
EU 27 Olive oil import 2012,Agri-food Markets,Trade and Quotas,2013,,https://eceuropaeu.sharepoint.com/sites/KNB-AGRI-GIS-Map-Catalogue/GISMC_all%20maps/olive%20oilIMP.png
